# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v1.1/PIP/LRG_NGC_nz.txt
#  zmid n(z)
4.000000000000000222e-01 5.208241973855168121e-04
4.050000000000000266e-01 5.208241973855168121e-04
4.150000000000000355e-01 5.237009017408843182e-04
4.250000000000000444e-01 5.308504419964074931e-04
4.350000000000000533e-01 5.253408403322045459e-04
4.450000000000000067e-01 5.342140396181801337e-04
4.550000000000000155e-01 5.200786088212447106e-04
4.650000000000000244e-01 5.057752310756339709e-04
4.750000000000000333e-01 5.030061564751216662e-04
4.849999999999999867e-01 5.111058364289886588e-04
4.949999999999999956e-01 5.299942300273157662e-04
5.050000000000000044e-01 5.385635803750619607e-04
5.150000000000000133e-01 5.234221330421640409e-04
5.250000000000000222e-01 5.257525335772617915e-04
5.350000000000000311e-01 5.274383753332404813e-04
5.450000000000000400e-01 5.419589663176995137e-04
5.550000000000000488e-01 5.419463674425696077e-04
5.650000000000000577e-01 5.447579369923255142e-04
5.750000000000000666e-01 5.262542026808490802e-04
5.850000000000000755e-01 5.317844531753949857e-04
5.950000000000000844e-01 5.334155902580370832e-04
6.049999999999999822e-01 5.320093606335769918e-04
6.149999999999999911e-01 5.359941814231233012e-04
6.250000000000000000e-01 5.244412227445150549e-04
6.350000000000000089e-01 5.306848609952487467e-04
6.450000000000000178e-01 5.319628242853090359e-04
6.550000000000000266e-01 5.264296124191751840e-04
6.650000000000000355e-01 5.292907879864483045e-04
6.750000000000000444e-01 5.160761731496416212e-04
6.850000000000000533e-01 5.178968596885395433e-04
6.949999999999999512e-01 5.107448919522244698e-04
7.049999999999999600e-01 5.131223125382727932e-04
7.149999999999999689e-01 5.020177536558795674e-04
7.249999999999999778e-01 5.051175743687200343e-04
7.349999999999999867e-01 5.147674446708050194e-04
7.449999999999999956e-01 5.233485602585520938e-04
7.550000000000000044e-01 5.224484043875555692e-04
7.650000000000000133e-01 5.316048187858712177e-04
7.750000000000000222e-01 5.504524081067104207e-04
7.850000000000000311e-01 5.609344718224771589e-04
7.950000000000000400e-01 5.860429063809247932e-04
8.050000000000000488e-01 5.784315151066955979e-04
8.150000000000000577e-01 5.597776461081518072e-04
8.250000000000000666e-01 5.405769278857120276e-04
8.350000000000000755e-01 5.275484207206496958e-04
8.450000000000000844e-01 5.041928471612182241e-04
8.550000000000000933e-01 4.883768278680276041e-04
8.650000000000001021e-01 4.686237669473062163e-04
8.750000000000000000e-01 4.465250086690510166e-04
8.850000000000000089e-01 4.257127564625812341e-04
8.950000000000000178e-01 4.073991729890637952e-04
9.050000000000000266e-01 3.908267171717523113e-04
9.150000000000000355e-01 3.624411154781808590e-04
9.250000000000000444e-01 3.398664318189390334e-04
9.350000000000000533e-01 3.273013608134038967e-04
9.450000000000000622e-01 3.013628295993583451e-04
9.550000000000000711e-01 2.843810484464386469e-04
9.650000000000000799e-01 2.588498397937023668e-04
9.750000000000000888e-01 2.363765664466163663e-04
9.849999999999999867e-01 2.065625861179893805e-04
9.949999999999999956e-01 1.881518147765738277e-04
1.004999999999999893e+00 1.699743274248561990e-04
1.015000000000000124e+00 1.567180111711383953e-04
1.024999999999999911e+00 1.405043478753168320e-04
1.035000000000000142e+00 1.260272102264560533e-04
1.044999999999999929e+00 1.171692916562781919e-04
1.055000000000000160e+00 1.037405630388602517e-04
1.064999999999999947e+00 9.066543704462644130e-05
1.075000000000000178e+00 8.273838339798838528e-05
1.084999999999999964e+00 7.494433358944139546e-05
1.095000000000000195e+00 6.658658771743042977e-05
