# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/LRG_NGC_nz.txt
#  zmid n(z)
0.000000000000000000e+00 9.735345002957751515e-04
5.000000000000000104e-03 9.735345002957751515e-04
1.499999999999999944e-02 2.991067708726863144e-04
2.500000000000000139e-02 4.188477542543360410e-04
3.500000000000000333e-02 3.582400185889792182e-04
4.499999999999999833e-02 2.952684852160576061e-04
5.500000000000000028e-02 3.199532654949662804e-04
6.500000000000000222e-02 2.938479682651043466e-04
7.500000000000001110e-02 2.621744332099074006e-04
8.499999999999999223e-02 2.489109750693627361e-04
9.500000000000000111e-02 1.860914793664479486e-04
1.050000000000000100e-01 1.591922613273712313e-04
1.149999999999999911e-01 1.253549912576508245e-04
1.250000000000000000e-01 1.095015677665253033e-04
1.350000000000000089e-01 1.059916278224419924e-04
1.450000000000000178e-01 8.326348654668922823e-05
1.549999999999999989e-01 7.831899592188625145e-05
1.650000000000000078e-01 7.442296887704100161e-05
1.749999999999999889e-01 7.922891230171280629e-05
1.849999999999999978e-01 8.339729495424376968e-05
1.950000000000000067e-01 8.989287100670213316e-05
2.050000000000000155e-01 1.038209191071505819e-04
2.149999999999999967e-01 1.131364152310468076e-04
2.250000000000000056e-01 1.439207389957315698e-04
2.349999999999999867e-01 1.409702056105451918e-04
2.449999999999999956e-01 1.601425567046055635e-04
2.550000000000000044e-01 1.757980841310225286e-04
2.650000000000000133e-01 1.880494628457402516e-04
2.750000000000000222e-01 1.861038767126659964e-04
2.850000000000000311e-01 1.979182840815019997e-04
2.949999999999999845e-01 2.135063717013819390e-04
3.049999999999999933e-01 2.327433736894149333e-04
3.150000000000000022e-01 2.709378710457313773e-04
3.250000000000000111e-01 3.125893421245191971e-04
3.350000000000000200e-01 3.901463560522823990e-04
3.450000000000000289e-01 4.620086183098941418e-04
3.549999999999999822e-01 5.101522436125626760e-04
3.649999999999999911e-01 5.426050656745278139e-04
3.750000000000000000e-01 5.646482318991310340e-04
3.850000000000000089e-01 5.399209981731388107e-04
3.950000000000000178e-01 5.406523944737172275e-04
4.050000000000000266e-01 5.161360802639535167e-04
4.150000000000000355e-01 5.199843899515335481e-04
4.249999999999999889e-01 5.270107534312460599e-04
4.349999999999999978e-01 5.205521932153579648e-04
4.450000000000000067e-01 5.296935137695699906e-04
4.550000000000000155e-01 5.161360762737821507e-04
4.650000000000000244e-01 5.022370384517804926e-04
4.749999999999999778e-01 4.997507915741579779e-04
4.849999999999999867e-01 5.070262159117922907e-04
4.949999999999999956e-01 5.250282620021160494e-04
5.050000000000000044e-01 5.348333094688078595e-04
5.150000000000000133e-01 5.187932099356967882e-04
5.250000000000000222e-01 5.222040418475041570e-04
5.350000000000000311e-01 5.234283744684597572e-04
5.450000000000000400e-01 5.383993453629725475e-04
5.550000000000000488e-01 5.379758122772183588e-04
5.650000000000000577e-01 5.409534653062853058e-04
5.749999999999999556e-01 5.236669497447097405e-04
5.849999999999999645e-01 5.284035188436079318e-04
5.949999999999999734e-01 5.297408526218287238e-04
6.049999999999999822e-01 5.302852190477623734e-04
6.149999999999999911e-01 5.344268527704565267e-04
6.250000000000000000e-01 5.228698459638252746e-04
6.350000000000000089e-01 5.275565738217787102e-04
6.450000000000000178e-01 5.314920169193058539e-04
6.550000000000000266e-01 5.253975107032116381e-04
6.650000000000000355e-01 5.263070646476568576e-04
6.750000000000000444e-01 5.127868457001400100e-04
6.850000000000000533e-01 5.157730773983093021e-04
6.950000000000000622e-01 5.081916242021625738e-04
7.050000000000000711e-01 5.085145218938201019e-04
7.149999999999999689e-01 4.970131022540638654e-04
7.249999999999999778e-01 5.008160792958526097e-04
7.349999999999999867e-01 5.096389597843311962e-04
7.449999999999999956e-01 5.183761837940234832e-04
7.550000000000000044e-01 5.166844087105424083e-04
7.650000000000000133e-01 5.266575132850288832e-04
7.750000000000000222e-01 5.454888670549222236e-04
7.850000000000000311e-01 5.558314760464013122e-04
7.950000000000000400e-01 5.802088250809595265e-04
8.050000000000000488e-01 5.721007878550608957e-04
8.150000000000000577e-01 5.545030275744074113e-04
8.250000000000000666e-01 5.357048805114774433e-04
8.349999999999999645e-01 5.229940255554485322e-04
8.449999999999999734e-01 4.992688528214220744e-04
8.549999999999999822e-01 4.836726140976514059e-04
8.649999999999999911e-01 4.641437787877648858e-04
8.750000000000000000e-01 4.412973619837402914e-04
8.850000000000000089e-01 4.216027557138837573e-04
8.950000000000000178e-01 4.034620056355747372e-04
9.050000000000000266e-01 3.892436459349841570e-04
9.150000000000000355e-01 3.604583257458163583e-04
9.250000000000000444e-01 3.385417334998364275e-04
9.350000000000000533e-01 3.257541763432044010e-04
9.450000000000000622e-01 2.996279314149011080e-04
9.550000000000000711e-01 2.829963160930850145e-04
9.649999999999999689e-01 2.579210010076759163e-04
9.749999999999999778e-01 2.349367159211276262e-04
9.849999999999999867e-01 2.056434768698603682e-04
9.949999999999999956e-01 1.872617051799741286e-04
1.004999999999999893e+00 1.690087158841218989e-04
1.015000000000000124e+00 1.561144034700891561e-04
1.024999999999999911e+00 1.400556056590803020e-04
1.035000000000000142e+00 1.252871336406228685e-04
1.044999999999999929e+00 1.159168554624397161e-04
1.055000000000000160e+00 1.031170553281913918e-04
1.064999999999999947e+00 9.009805168943638555e-05
1.075000000000000178e+00 8.244664988190427563e-05
1.084999999999999964e+00 7.448024081786614185e-05
1.095000000000000195e+00 6.616467782130647365e-05
1.104999999999999982e+00 5.841689099079577584e-05
1.115000000000000213e+00 5.376827851027445141e-05
1.125000000000000000e+00 4.739189246150482472e-05
1.135000000000000231e+00 4.251902112550518496e-05
1.145000000000000018e+00 3.737202761606117868e-05
1.155000000000000027e+00 3.245158045408713080e-05
1.165000000000000036e+00 2.954595977572138492e-05
1.174999999999999822e+00 2.513008217760290641e-05
1.185000000000000053e+00 2.198841658338100807e-05
1.194999999999999840e+00 1.954773021032080966e-05
1.205000000000000071e+00 1.707018264595595386e-05
1.214999999999999858e+00 1.351331962711629763e-05
1.225000000000000089e+00 1.260795954784550081e-05
1.234999999999999876e+00 1.098784215857597383e-05
1.245000000000000107e+00 8.980361009386713674e-06
1.254999999999999893e+00 8.213066192522053882e-06
1.265000000000000124e+00 7.787521289673794399e-06
1.274999999999999911e+00 6.166727633219530976e-06
1.285000000000000142e+00 5.757389449859497334e-06
1.294999999999999929e+00 4.796540018517038071e-06
1.305000000000000160e+00 3.983333973887323698e-06
1.314999999999999947e+00 4.318953451325119498e-06
1.325000000000000178e+00 3.549775781311135115e-06
1.334999999999999964e+00 2.575907267884123224e-06
1.345000000000000195e+00 2.281167735689593478e-06
1.354999999999999982e+00 1.943307823326074855e-06
1.365000000000000213e+00 2.076928374276154110e-06
1.375000000000000000e+00 1.161204105518890647e-06
1.385000000000000231e+00 1.083512840348361012e-06
1.395000000000000018e+00 9.582746538478268900e-07
1.405000000000000027e+00 7.218171157689005680e-07
1.415000000000000036e+00 6.967525485290470053e-07
1.424999999999999822e+00 5.349274630618995216e-07
1.435000000000000053e+00 4.680682504573949194e-07
1.444999999999999840e+00 4.617947353176205520e-07
1.455000000000000071e+00 2.903153302837931697e-07
1.464999999999999858e+00 3.636264808178742324e-07
1.475000000000000089e+00 2.670259625879184147e-07
1.484999999999999876e+00 3.565391524655770951e-07
1.495000000000000107e+00 8.172163335438117162e-07
1.500000000000000000e+00 8.172163335438117162e-07
