#original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v1.1/PIP/LRG_SGC_nz.txt
#zmid n(z)
4.000000000000000222e-01 5.478891306619578959e-04
4.050000000000000266e-01 5.478891306619578959e-04
4.150000000000000355e-01 5.360468839028644048e-04
4.250000000000000444e-01 5.069644654814557281e-04
4.350000000000000533e-01 5.191489588314328546e-04
4.450000000000000067e-01 5.354564502310708678e-04
4.550000000000000155e-01 5.379310226912013045e-04
4.650000000000000244e-01 5.193885065012595215e-04
4.750000000000000333e-01 5.149548414373997674e-04
4.849999999999999867e-01 5.302616227241722198e-04
4.949999999999999956e-01 5.186574436791014384e-04
5.050000000000000044e-01 5.072516023960797543e-04
5.150000000000000133e-01 5.014190697466491212e-04
5.250000000000000222e-01 5.253174023962112671e-04
5.350000000000000311e-01 5.058594692126065903e-04
5.450000000000000400e-01 5.051522479807394900e-04
5.550000000000000488e-01 5.515150079984643388e-04
5.650000000000000577e-01 5.512312941731339943e-04
5.750000000000000666e-01 5.674680488887285778e-04
5.850000000000000755e-01 5.336472844943428466e-04
5.950000000000000844e-01 5.482662170117863065e-04
6.049999999999999822e-01 5.553137335874317815e-04
6.149999999999999911e-01 5.670053421396783339e-04
6.250000000000000000e-01 5.692712879003466748e-04
6.350000000000000089e-01 5.470414765632971351e-04
6.450000000000000178e-01 5.206458488254036556e-04
6.550000000000000266e-01 5.125564230344014033e-04
6.650000000000000355e-01 5.103228561238787233e-04
6.750000000000000444e-01 5.073738016873993902e-04
6.850000000000000533e-01 5.137768298617209758e-04
6.949999999999999512e-01 5.178128106986442649e-04
7.049999999999999600e-01 5.046708172772027597e-04
7.149999999999999689e-01 5.082560978737586926e-04
7.249999999999999778e-01 5.027289076886420514e-04
7.349999999999999867e-01 4.971822107324494868e-04
7.449999999999999956e-01 5.195433569667962060e-04
7.550000000000000044e-01 5.222431472856873700e-04
7.650000000000000133e-01 5.129573522515072344e-04
7.750000000000000222e-01 5.412828705640105546e-04
7.850000000000000311e-01 5.535091022900852451e-04
7.950000000000000400e-01 5.794722728483249182e-04
8.050000000000000488e-01 5.731828023505273692e-04
8.150000000000000577e-01 5.352623215374702594e-04
8.250000000000000666e-01 5.196650303167051933e-04
8.350000000000000755e-01 5.139898407684940660e-04
8.450000000000000844e-01 5.066025404760966973e-04
8.550000000000000933e-01 5.012566710222788116e-04
8.650000000000001021e-01 4.693017880468532349e-04
8.750000000000000000e-01 4.531306418882885545e-04
8.850000000000000089e-01 4.360232071325388322e-04
8.950000000000000178e-01 4.041638976132626618e-04
9.050000000000000266e-01 3.963545286483486415e-04
9.150000000000000355e-01 3.615554628809903768e-04
9.250000000000000444e-01 3.481905722821765749e-04
9.350000000000000533e-01 3.367523684410076335e-04
9.450000000000000622e-01 3.046904614457259615e-04
9.550000000000000711e-01 2.804248365085895939e-04
9.650000000000000799e-01 2.591544265894394380e-04
9.750000000000000888e-01 2.343235494172902134e-04
9.849999999999999867e-01 2.189784764413364867e-04
9.949999999999999956e-01 1.952741669822807326e-04
1.004999999999999893e+00 1.774567128658316483e-04
1.015000000000000124e+00 1.606625168114112401e-04
1.024999999999999911e+00 1.436591723244909683e-04
1.035000000000000142e+00 1.272790054702156693e-04
1.044999999999999929e+00 1.130506907941790850e-04
1.055000000000000160e+00 1.039283083335718890e-04
1.064999999999999947e+00 9.118031005764832967e-05
1.075000000000000178e+00 8.181605525807685909e-05
1.084999999999999964e+00 7.466294001342194423e-05
1.095000000000000195e+00 6.685059286466908603e-05
