# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/LRG_SGC_nz.txt
#  zmid n(z)
0.000000000000000000e+00 1.232651407971957621e-03
5.000000000000000104e-03 1.232651407971957621e-03
1.499999999999999944e-02 5.846086243688581804e-04
2.500000000000000139e-02 5.992068251764938892e-04
3.500000000000000333e-02 5.903634373635429505e-04
4.499999999999999833e-02 4.399088563335076612e-04
5.500000000000000028e-02 4.543051385735463093e-04
6.500000000000000222e-02 3.715501901501138673e-04
7.500000000000001110e-02 3.233620736635850501e-04
8.499999999999999223e-02 2.766644874859835253e-04
9.500000000000000111e-02 1.841943153672013123e-04
1.050000000000000100e-01 1.361840032308030178e-04
1.149999999999999911e-01 1.254951833949826485e-04
1.250000000000000000e-01 1.051468128345541128e-04
1.350000000000000089e-01 9.455797648941777754e-05
1.450000000000000178e-01 7.852620329690418617e-05
1.549999999999999989e-01 7.357673531045808577e-05
1.650000000000000078e-01 6.853438487187695405e-05
1.749999999999999889e-01 7.886494638910744430e-05
1.849999999999999978e-01 8.655677238183890980e-05
1.950000000000000067e-01 9.371538428148435274e-05
2.050000000000000155e-01 1.097382398736640620e-04
2.149999999999999967e-01 1.141471387734482889e-04
2.250000000000000056e-01 1.287789059310964356e-04
2.349999999999999867e-01 1.468680791751480498e-04
2.449999999999999956e-01 1.609793644295740879e-04
2.550000000000000044e-01 1.748932624986475413e-04
2.650000000000000133e-01 2.039045105458375177e-04
2.750000000000000222e-01 2.016085980773971620e-04
2.850000000000000311e-01 2.045240010032526115e-04
2.949999999999999845e-01 2.288165624319627237e-04
3.049999999999999933e-01 2.533941477594484418e-04
3.150000000000000022e-01 2.944181023246423699e-04
3.250000000000000111e-01 3.096022315007735965e-04
3.350000000000000200e-01 4.052711616899410752e-04
3.450000000000000289e-01 4.520662899225566566e-04
3.549999999999999822e-01 5.028679900992860273e-04
3.649999999999999911e-01 5.454134890418868651e-04
3.750000000000000000e-01 5.243234747706162005e-04
3.850000000000000089e-01 5.587118395201988398e-04
3.950000000000000178e-01 5.153414289888828262e-04
4.050000000000000266e-01 5.410161428993887859e-04
4.150000000000000355e-01 5.314517226219727351e-04
4.249999999999999889e-01 5.028476021681249934e-04
4.349999999999999978e-01 5.142088394199269535e-04
4.450000000000000067e-01 5.320982385645627987e-04
4.550000000000000155e-01 5.337634406749854673e-04
4.650000000000000244e-01 5.155432651306451203e-04
4.749999999999999778e-01 5.125289620888173010e-04
4.849999999999999867e-01 5.244201177888674695e-04
4.949999999999999956e-01 5.141229917373523915e-04
5.050000000000000044e-01 5.036235492730229248e-04
5.150000000000000133e-01 4.982170553062982956e-04
5.250000000000000222e-01 5.180169566665799880e-04
5.350000000000000311e-01 5.021724360256000141e-04
5.450000000000000400e-01 5.032728536516041865e-04
5.550000000000000488e-01 5.452614415831568773e-04
5.650000000000000577e-01 5.463189976984276271e-04
5.749999999999999556e-01 5.621697866059308405e-04
5.849999999999999645e-01 5.313730581143976490e-04
5.949999999999999734e-01 5.418761241250023234e-04
6.049999999999999822e-01 5.484128486020055804e-04
6.149999999999999911e-01 5.575502537277218567e-04
6.250000000000000000e-01 5.610726936046038981e-04
6.350000000000000089e-01 5.390327688848931985e-04
6.450000000000000178e-01 5.134766382957684687e-04
6.550000000000000266e-01 5.068667509260656005e-04
