#original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v1.1/PIP/QSO_NGC_nz.txt
#zmid n(z)
8.100000000000000533e-01 2.752038180312924720e-05
8.300000000000000711e-01 2.770208718647768610e-05
8.500000000000000888e-01 2.771336249376785894e-05
8.700000000000001066e-01 2.853060625912694567e-05
8.900000000000000133e-01 2.974439440808709725e-05
9.100000000000000311e-01 3.036845207796525374e-05
9.300000000000000488e-01 3.115140900925860465e-05
9.500000000000000666e-01 3.121392024376384850e-05
9.699999999999999734e-01 3.094726427276007499e-05
9.899999999999999911e-01 3.071103106012900818e-05
1.010000000000000009e+00 3.071312051186120073e-05
1.030000000000000027e+00 3.146694785284125253e-05
1.050000000000000044e+00 3.243695885100515204e-05
1.070000000000000062e+00 3.210096229691575720e-05
1.090000000000000080e+00 3.283151047464613316e-05
1.110000000000000098e+00 3.230642427356592456e-05
1.130000000000000115e+00 3.384627865950837184e-05
1.150000000000000133e+00 3.499715169476586306e-05
1.170000000000000151e+00 3.512867432760030938e-05
1.190000000000000169e+00 3.558148306189602960e-05
1.209999999999999964e+00 3.551219655904866814e-05
1.229999999999999982e+00 3.575318104557288301e-05
1.250000000000000000e+00 3.637906923012981282e-05
1.270000000000000018e+00 3.599779375654355387e-05
1.290000000000000036e+00 3.702014633640049771e-05
1.310000000000000053e+00 3.653121996987486822e-05
1.330000000000000071e+00 3.529185660020748509e-05
1.350000000000000089e+00 3.599119185626295411e-05
1.370000000000000107e+00 3.572673675645957509e-05
1.389999999999999902e+00 3.492473154903571721e-05
1.409999999999999920e+00 3.628160903539212617e-05
1.429999999999999938e+00 3.746413232652660705e-05
1.449999999999999956e+00 3.643619283555435656e-05
1.469999999999999973e+00 3.629781146852480264e-05
1.489999999999999991e+00 3.634316982817334851e-05
1.510000000000000009e+00 3.627616897539757425e-05
1.530000000000000027e+00 3.623492096552441573e-05
1.550000000000000044e+00 3.658055341158740861e-05
1.570000000000000062e+00 3.665638196216372367e-05
1.590000000000000080e+00 3.522867775032933096e-05
1.610000000000000098e+00 3.423007812312374285e-05
1.630000000000000115e+00 3.455866196944866106e-05
1.650000000000000133e+00 3.537333284226819362e-05
1.670000000000000151e+00 3.540814647773539464e-05
1.690000000000000169e+00 3.462031125090019306e-05
1.710000000000000187e+00 3.433192143365215103e-05
1.730000000000000204e+00 3.240802458045030410e-05
1.750000000000000000e+00 3.461155266793191103e-05
1.770000000000000018e+00 3.297312180346901472e-05
1.790000000000000036e+00 3.275618577770152059e-05
1.810000000000000053e+00 3.189271288806039067e-05
1.830000000000000071e+00 3.234336607259243767e-05
1.850000000000000089e+00 3.149356181466935600e-05
1.870000000000000107e+00 3.077263487670491504e-05
1.890000000000000124e+00 3.024738173944037858e-05
1.910000000000000142e+00 3.023058715968104116e-05
1.930000000000000160e+00 2.942357302018943361e-05
1.950000000000000178e+00 2.977913934396257431e-05
1.969999999999999973e+00 2.729690525547812682e-05
1.989999999999999991e+00 2.730482064783944937e-05
2.009999999999999787e+00 2.720612969659062550e-05
2.030000000000000249e+00 2.590876237718078756e-05
2.049999999999999822e+00 2.654289031767405096e-05
2.070000000000000284e+00 2.574097204714142194e-05
2.089999999999999858e+00 2.504409857721735192e-05
2.110000000000000320e+00 2.521315994412249857e-05
2.129999999999999893e+00 2.446613966668348777e-05
2.150000000000000355e+00 2.362429003078436496e-05
2.169999999999999929e+00 2.301489350706040693e-05
2.190000000000000391e+00 2.249763608797756295e-05
2.209999999999999964e+00 2.223975866093143855e-05
2.229999999999999982e+00 2.140585189028504530e-05
