# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/QSO_NGC_nz.txt
#  zmid n(z)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 0.000000000000000000e+00
2.999999999999999889e-02 0.000000000000000000e+00
5.000000000000000278e-02 6.674927180170257173e-06
7.000000000000000666e-02 1.281504740054727319e-05
8.999999999999999667e-02 1.009272991920561784e-05
1.100000000000000006e-01 7.492517677053648007e-06
1.300000000000000044e-01 7.589311696856104233e-06
1.500000000000000222e-01 5.022372909684529952e-06
1.699999999999999845e-01 4.184239546776290224e-06
1.900000000000000022e-01 3.883030560786562236e-06
2.100000000000000200e-01 3.806792214332466832e-06
2.299999999999999822e-01 4.772480796021976957e-06
2.500000000000000000e-01 4.111463809497182768e-06
2.700000000000000178e-01 4.411324378520749646e-06
2.900000000000000355e-01 4.808663437385546152e-06
3.099999999999999978e-01 5.248361918459689588e-06
3.300000000000000155e-01 6.208824196533117303e-06
3.499999999999999778e-01 7.931269703339132175e-06
3.699999999999999956e-01 8.324336093792426879e-06
3.900000000000000133e-01 8.780039446523391769e-06
4.100000000000000311e-01 9.760188183310629186e-06
4.299999999999999933e-01 1.054928477817767490e-05
4.500000000000000111e-01 1.056666571918483935e-05
4.699999999999999734e-01 1.117279323096001634e-05
4.899999999999999911e-01 1.207404054575297835e-05
5.100000000000000089e-01 1.294732362059115047e-05
5.300000000000000266e-01 1.343760909456822618e-05
5.500000000000000444e-01 1.399502638496421979e-05
5.700000000000000622e-01 1.504143712622189118e-05
5.899999999999999689e-01 1.596724705281698720e-05
6.099999999999999867e-01 1.706205445688448752e-05
6.300000000000000044e-01 1.689093161560338937e-05
6.500000000000000222e-01 1.860932590177662217e-05
6.700000000000000400e-01 1.932361084162883619e-05
6.900000000000000577e-01 1.996116990750524138e-05
7.099999999999999645e-01 2.063375902845844022e-05
7.299999999999999822e-01 2.260218630214017957e-05
7.500000000000000000e-01 2.343908122052568033e-05
7.700000000000000178e-01 2.412987308159734041e-05
7.900000000000000355e-01 2.610459898222304307e-05
8.100000000000000533e-01 2.738050925321519152e-05
8.300000000000000711e-01 2.770993008844011525e-05
8.499999999999999778e-01 2.749773896591270337e-05
8.699999999999999956e-01 2.837777276545070602e-05
8.900000000000000133e-01 2.956461507486622255e-05
9.100000000000000311e-01 3.029848900583393054e-05
9.300000000000000488e-01 3.107530620710930683e-05
9.499999999999999556e-01 3.102215667616322920e-05
9.699999999999999734e-01 3.076496410174336406e-05
9.899999999999999911e-01 3.050106240187505402e-05
1.010000000000000009e+00 3.054375164595272269e-05
1.030000000000000027e+00 3.131902173283720563e-05
1.050000000000000044e+00 3.222272139041169160e-05
1.070000000000000062e+00 3.194324997936869601e-05
1.090000000000000080e+00 3.265308087295164664e-05
1.110000000000000098e+00 3.217032358306535009e-05
1.130000000000000115e+00 3.371744556112706562e-05
1.149999999999999911e+00 3.519490008782382925e-05
1.169999999999999929e+00 3.492728418017297762e-05
1.189999999999999947e+00 3.541891282053256620e-05
1.209999999999999964e+00 3.524787444931291690e-05
1.229999999999999982e+00 3.565166347060843752e-05
1.250000000000000000e+00 3.618228588430533085e-05
1.270000000000000018e+00 3.582260766449649062e-05
1.290000000000000036e+00 3.691006718434108197e-05
1.310000000000000053e+00 3.633109620125603544e-05
1.330000000000000071e+00 3.499661517856513389e-05
1.350000000000000089e+00 3.580019282252522257e-05
1.370000000000000107e+00 3.531228139867183046e-05
1.390000000000000124e+00 3.518827286189256138e-05
1.410000000000000142e+00 3.619869977918051257e-05
1.429999999999999938e+00 3.703932027392707138e-05
1.449999999999999956e+00 3.602662068453255589e-05
1.469999999999999973e+00 3.608502501230521963e-05
1.489999999999999991e+00 3.597676602390514460e-05
1.510000000000000009e+00 3.602137628607914521e-05
1.530000000000000027e+00 3.588244256900196031e-05
1.550000000000000044e+00 3.637873375261844837e-05
1.570000000000000062e+00 3.648910485748195275e-05
1.590000000000000080e+00 3.512823455009906937e-05
1.610000000000000098e+00 3.387227883570770754e-05
1.630000000000000115e+00 3.435522451799914148e-05
1.650000000000000133e+00 3.508377092947236926e-05
1.669999999999999929e+00 3.521711807624155880e-05
1.689999999999999947e+00 3.438776189983022149e-05
1.709999999999999964e+00 3.410475532648301114e-05
1.729999999999999982e+00 3.225372290469728272e-05
1.750000000000000000e+00 3.437889309124811296e-05
1.770000000000000018e+00 3.273483469532762868e-05
1.790000000000000036e+00 3.252318224574980249e-05
1.810000000000000053e+00 3.178672220067447725e-05
1.830000000000000071e+00 3.213258201675240288e-05
1.850000000000000089e+00 3.129093156030959800e-05
1.870000000000000107e+00 3.052753534058034486e-05
1.890000000000000124e+00 3.001579432082597865e-05
1.910000000000000142e+00 3.012183527315849226e-05
1.929999999999999938e+00 2.921248983040671218e-05
1.949999999999999956e+00 2.953173608061508918e-05
1.969999999999999973e+00 2.708201870987764055e-05
1.989999999999999991e+00 2.711804219149826424e-05
2.009999999999999787e+00 2.700730522062474911e-05
2.030000000000000249e+00 2.574663546750604641e-05
2.049999999999999822e+00 2.634038243742765843e-05
2.070000000000000284e+00 2.560656960723127064e-05
2.089999999999999858e+00 2.491543035216124322e-05
2.110000000000000320e+00 2.507287000170482631e-05
2.129999999999999893e+00 2.436801854761569462e-05
2.150000000000000355e+00 2.349311048548591001e-05
2.169999999999999929e+00 2.284140821147867165e-05
2.190000000000000391e+00 2.235289302968446098e-05
2.209999999999999964e+00 2.210611636194661643e-05
2.230000000000000426e+00 2.129277371377035139e-05
2.250000000000000000e+00 2.181789242092229094e-05
2.270000000000000462e+00 2.069983555495484204e-05
2.290000000000000036e+00 2.031633628936017579e-05
2.310000000000000053e+00 2.004060879854785071e-05
2.330000000000000071e+00 1.879884435603515851e-05
2.349999999999999645e+00 1.812915130472986919e-05
2.370000000000000107e+00 1.859686346422629693e-05
2.389999999999999680e+00 1.836107757474211735e-05
