#original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v1.1/PIP/QSO_SGC_nz.txt
#zmid n(z)
8.100000000000000533e-01 2.775941548255158169e-05
8.300000000000000711e-01 2.707692172277774621e-05
8.500000000000000888e-01 2.953141701393918723e-05
8.700000000000001066e-01 2.962648194807480928e-05
8.900000000000000133e-01 3.033475357194862428e-05
9.100000000000000311e-01 3.028615416169023686e-05
9.300000000000000488e-01 3.239905270969447790e-05
9.500000000000000666e-01 3.110781687769036049e-05
9.699999999999999734e-01 3.164428233516768666e-05
9.899999999999999911e-01 3.240836492691331205e-05
1.010000000000000009e+00 3.253806964415955201e-05
1.030000000000000027e+00 3.343418874275435487e-05
1.050000000000000044e+00 3.224079788769236153e-05
1.070000000000000062e+00 3.295079553840515895e-05
1.090000000000000080e+00 3.291721334926345747e-05
1.110000000000000098e+00 3.340185916602302215e-05
1.130000000000000115e+00 3.435880862274683800e-05
1.150000000000000133e+00 3.483893645097925495e-05
1.170000000000000151e+00 3.609337431998358694e-05
1.190000000000000169e+00 3.485645838905669918e-05
1.209999999999999964e+00 3.660402979027252055e-05
1.229999999999999982e+00 3.684252190486321624e-05
1.250000000000000000e+00 3.743107788162573069e-05
1.270000000000000018e+00 3.666386219534879879e-05
1.290000000000000036e+00 3.719887230886124410e-05
1.310000000000000053e+00 3.833683979015701111e-05
1.330000000000000071e+00 3.524980999690041834e-05
1.350000000000000089e+00 3.695221418348778713e-05
1.370000000000000107e+00 3.650536694385848776e-05
1.389999999999999902e+00 3.596501875813001029e-05
1.409999999999999920e+00 3.737184829767099109e-05
1.429999999999999938e+00 3.778299364245846611e-05
1.449999999999999956e+00 3.768844858362793476e-05
1.469999999999999973e+00 3.668692933432792468e-05
1.489999999999999991e+00 3.648634359101845284e-05
1.510000000000000009e+00 3.672696550857098224e-05
1.530000000000000027e+00 3.724853000989432361e-05
1.550000000000000044e+00 3.649246448804389573e-05
1.570000000000000062e+00 3.723852291418403151e-05
1.590000000000000080e+00 3.630022473463325486e-05
1.610000000000000098e+00 3.575544069281534854e-05
1.630000000000000115e+00 3.485454411187198845e-05
1.650000000000000133e+00 3.610498593890388869e-05
1.670000000000000151e+00 3.495719940027025943e-05
1.690000000000000169e+00 3.558361571518979939e-05
1.710000000000000187e+00 3.417784214066610918e-05
1.730000000000000204e+00 3.350418756135475630e-05
1.750000000000000000e+00 3.417482524574597444e-05
1.770000000000000018e+00 3.416789967132738632e-05
1.790000000000000036e+00 3.425240494557939139e-05
1.810000000000000053e+00 3.244774157730983676e-05
1.830000000000000071e+00 3.149350574946864267e-05
1.850000000000000089e+00 3.176925502700510219e-05
1.870000000000000107e+00 3.062661929883179514e-05
1.890000000000000124e+00 3.064166076713592649e-05
1.910000000000000142e+00 3.067482447589841963e-05
1.930000000000000160e+00 2.983179675499565193e-05
1.950000000000000178e+00 2.977543492790130970e-05
1.969999999999999973e+00 2.671514838607800263e-05
1.989999999999999991e+00 2.721378168802049383e-05
2.009999999999999787e+00 2.787374604315185595e-05
2.030000000000000249e+00 2.668520287859054414e-05
2.049999999999999822e+00 2.656326419362100674e-05
2.070000000000000284e+00 2.617530967350827797e-05
2.089999999999999858e+00 2.485229617750462925e-05
2.110000000000000320e+00 2.591787838941736778e-05
2.129999999999999893e+00 2.553553616681066203e-05
2.150000000000000355e+00 2.477963282717409371e-05
2.169999999999999929e+00 2.452940867354778018e-05
2.190000000000000391e+00 2.214198914557052565e-05
2.209999999999999964e+00 2.248805465035192728e-05
2.229999999999999982e+00 2.161553011386981924e-05
2.250000000000000000e+00 2.157382127501403471e-05
2.270000000000000018e+00 2.098034656487819406e-05
2.290000000000000036e+00 2.017298202191231772e-05
2.310000000000000053e+00 2.024215630517635240e-05
2.330000000000000071e+00 1.863523115738707897e-05
2.350000000000000089e+00 1.865271191059063221e-05
2.370000000000000107e+00 1.838769217728981490e-05
2.390000000000000124e+00 1.812253395388542678e-05
2.410000000000000142e+00 1.783502917275430133e-05
2.430000000000000160e+00 1.677662945758465776e-05
2.450000000000000178e+00 1.617870112465859866e-05
2.469999999999999751e+00 1.594946736068344432e-05
2.490000000000000213e+00 1.634525624546665206e-05
2.509999999999999787e+00 1.515895694843845405e-05
2.530000000000000249e+00 1.482942405577812212e-05
2.549999999999999822e+00 1.478928285461641961e-05
2.570000000000000284e+00 1.331324037825989047e-05
2.589999999999999858e+00 1.277906520871797834e-05
2.610000000000000320e+00 1.227312632759480238e-05
2.629999999999999893e+00 1.260183434250104672e-05
2.650000000000000355e+00 1.214905033284057189e-05
2.669999999999999929e+00 1.166428670493269542e-05
2.690000000000000391e+00 1.121751041852440663e-05
2.709999999999999964e+00 1.084104598117064652e-05
2.729999999999999982e+00 1.024800117787668366e-05
2.750000000000000000e+00 9.703318738647266915e-06
2.770000000000000018e+00 9.959021510500207851e-06
2.790000000000000036e+00 9.865120989209642783e-06
2.810000000000000053e+00 9.713281564661156931e-06
2.830000000000000071e+00 9.583787426901849913e-06
2.850000000000000089e+00 9.005125672091872932e-06
2.870000000000000107e+00 8.782456415628361394e-06
2.890000000000000124e+00 8.356471053825870125e-06
2.910000000000000142e+00 8.131456548881950525e-06
2.930000000000000160e+00 7.574502551603113405e-06
2.950000000000000178e+00 7.166976049192944780e-06
2.970000000000000195e+00 7.137797659678158886e-06
2.990000000000000213e+00 6.776596036248994724e-06
3.010000000000000231e+00 6.707953525356945459e-06
3.030000000000000249e+00 6.324423267888834634e-06
3.050000000000000266e+00 5.996679641480953627e-06
3.070000000000000284e+00 5.897274307741265140e-06
3.090000000000000302e+00 5.856723229143199877e-06
3.110000000000000320e+00 5.263106597916318291e-06
3.129999999999999893e+00 5.311084472903281294e-06
3.149999999999999911e+00 4.990265688183421959e-06
3.169999999999999929e+00 4.544159373115312898e-06
3.189999999999999947e+00 4.600468045962399956e-06
3.209999999999999964e+00 4.475469732889871288e-06
3.229999999999999982e+00 4.489806815695064683e-06
3.250000000000000000e+00 4.196658571622631629e-06
3.270000000000000018e+00 3.889254025947684772e-06
3.290000000000000036e+00 3.814319838776352938e-06
3.310000000000000053e+00 3.482934935319174643e-06
3.330000000000000071e+00 3.663992021515214726e-06
3.350000000000000089e+00 3.152153862157923575e-06
3.370000000000000107e+00 2.925862837563207020e-06
3.390000000000000124e+00 2.816683193967035052e-06
3.410000000000000142e+00 2.588530013302356245e-06
3.430000000000000160e+00 2.302901511411831320e-06
3.450000000000000178e+00 2.123202344085340144e-06
3.470000000000000195e+00 2.027589277598693724e-06
3.490000000000000213e+00 1.863123467782663843e-06
