# original file /global/cfs/cdirs/desi/survey/catalogs/DA2/LSS/loa-v1/LSScats/v2/PIP/QSO_SGC_nz.txt
#  zmid n(z)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000021e-02 0.000000000000000000e+00
2.999999999999999889e-02 0.000000000000000000e+00
5.000000000000000278e-02 9.474114254684924279e-06
7.000000000000000666e-02 1.317048052700479307e-05
8.999999999999999667e-02 1.083957413274905085e-05
1.100000000000000006e-01 8.853957784558430633e-06
1.300000000000000044e-01 7.850650493187558452e-06
1.500000000000000222e-01 5.444140791889616207e-06
1.699999999999999845e-01 3.922210345956904186e-06
1.900000000000000022e-01 5.154711128323914387e-06
2.100000000000000200e-01 4.451694334810923158e-06
2.299999999999999822e-01 3.770907317815236539e-06
2.500000000000000000e-01 4.188801468977544054e-06
2.700000000000000178e-01 4.228431794961488236e-06
2.900000000000000355e-01 3.930493958756940191e-06
3.099999999999999978e-01 7.312367378800793104e-06
3.300000000000000155e-01 6.005701751258103694e-06
3.499999999999999778e-01 7.185982897597882867e-06
3.699999999999999956e-01 8.172134489288198017e-06
3.900000000000000133e-01 8.923579705004974584e-06
4.100000000000000311e-01 9.286114378699136099e-06
4.299999999999999933e-01 9.931763098422994812e-06
4.500000000000000111e-01 1.079615724168061159e-05
4.699999999999999734e-01 1.119561422144310308e-05
4.899999999999999911e-01 1.204838769834488447e-05
5.100000000000000089e-01 1.218084172737235460e-05
5.300000000000000266e-01 1.262097710834028820e-05
5.500000000000000444e-01 1.442645055850889514e-05
5.700000000000000622e-01 1.611518846024621591e-05
5.899999999999999689e-01 1.521326423572946441e-05
6.099999999999999867e-01 1.720396781098057517e-05
6.300000000000000044e-01 1.738000382687876168e-05
6.500000000000000222e-01 1.923764102335498102e-05
6.700000000000000400e-01 1.920711858139748275e-05
6.900000000000000577e-01 2.102721273433120922e-05
7.099999999999999645e-01 2.139667875607971604e-05
7.299999999999999822e-01 2.325021823665053512e-05
7.500000000000000000e-01 2.468241228878756774e-05
7.700000000000000178e-01 2.478260984335713951e-05
7.900000000000000355e-01 2.704678319398372488e-05
8.100000000000000533e-01 2.774256198069856573e-05
8.300000000000000711e-01 2.663040460666333268e-05
8.499999999999999778e-01 2.922713258648868668e-05
8.699999999999999956e-01 2.927006626212718638e-05
8.900000000000000133e-01 3.078870011222375992e-05
9.100000000000000311e-01 3.008526820154261685e-05
9.300000000000000488e-01 3.209858608823889121e-05
9.499999999999999556e-01 3.059139569219188168e-05
9.699999999999999734e-01 3.110322708683567423e-05
9.899999999999999911e-01 3.267254675295247111e-05
1.010000000000000009e+00 3.204199566317961001e-05
1.030000000000000027e+00 3.295542118233058128e-05
1.050000000000000044e+00 3.176522499634289165e-05
1.070000000000000062e+00 3.251931522776579058e-05
1.090000000000000080e+00 3.229182319031976954e-05
1.110000000000000098e+00 3.298405388897580258e-05
1.130000000000000115e+00 3.415149481718359105e-05
1.149999999999999911e+00 3.440512866059643876e-05
1.169999999999999929e+00 3.571043781003866541e-05
1.189999999999999947e+00 3.440312311898951358e-05
1.209999999999999964e+00 3.625886637127944328e-05
1.229999999999999982e+00 3.650224983592030695e-05
1.250000000000000000e+00 3.698365156960182245e-05
1.270000000000000018e+00 3.624135200361124401e-05
1.290000000000000036e+00 3.659295640876262314e-05
1.310000000000000053e+00 3.765385990968387806e-05
1.330000000000000071e+00 3.475838130959632626e-05
1.350000000000000089e+00 3.642190467752978451e-05
1.370000000000000107e+00 3.586665069501797359e-05
1.390000000000000124e+00 3.573003898465741283e-05
1.410000000000000142e+00 3.721717204344977825e-05
1.429999999999999938e+00 3.716841850540269669e-05
1.449999999999999956e+00 3.725302097722569779e-05
1.469999999999999973e+00 3.597333986841334970e-05
1.489999999999999991e+00 3.596909193827304896e-05
1.510000000000000009e+00 3.602179447282986260e-05
1.530000000000000027e+00 3.641641354032200000e-05
1.550000000000000044e+00 3.607868666827115575e-05
1.570000000000000062e+00 3.738903252935651147e-05
1.590000000000000080e+00 3.598628552721079961e-05
1.610000000000000098e+00 3.522030556607368319e-05
1.630000000000000115e+00 3.420350274550510236e-05
1.650000000000000133e+00 3.549532981278175189e-05
1.669999999999999929e+00 3.442275529245262833e-05
1.689999999999999947e+00 3.501267006662377184e-05
1.709999999999999964e+00 3.341892684905465628e-05
1.729999999999999982e+00 3.298127239734729472e-05
1.750000000000000000e+00 3.374965307932840095e-05
1.770000000000000018e+00 3.365523369849261417e-05
1.790000000000000036e+00 3.374023001396946525e-05
1.810000000000000053e+00 3.191774543834247497e-05
1.830000000000000071e+00 3.097354074866209177e-05
1.850000000000000089e+00 3.118182018187958486e-05
1.870000000000000107e+00 3.047530079780037972e-05
1.890000000000000124e+00 3.016782879038363717e-05
1.910000000000000142e+00 3.024730465064506704e-05
1.929999999999999938e+00 2.925539292977558017e-05
1.949999999999999956e+00 2.932573278535668737e-05
1.969999999999999973e+00 2.631204778441933334e-05
1.989999999999999991e+00 2.678700305161779585e-05
2.009999999999999787e+00 2.741893123448470759e-05
2.030000000000000249e+00 2.618822222521623977e-05
2.049999999999999822e+00 2.604468776644275571e-05
2.070000000000000284e+00 2.584915630010664237e-05
2.089999999999999858e+00 2.441542743335238343e-05
2.110000000000000320e+00 2.569504659536162651e-05
2.129999999999999893e+00 2.515594815535044239e-05
2.150000000000000355e+00 2.446741578097059791e-05
2.169999999999999929e+00 2.422064419961633480e-05
2.190000000000000391e+00 2.193232120715026323e-05
2.209999999999999964e+00 2.211615713694215353e-05
2.230000000000000426e+00 2.139429101400351613e-05
2.250000000000000000e+00 2.128507297697243697e-05
2.270000000000000462e+00 2.071610027125366814e-05
2.290000000000000036e+00 1.994803352705173298e-05
2.310000000000000053e+00 1.998567430433054518e-05
2.330000000000000071e+00 1.844649906442047510e-05
2.349999999999999645e+00 1.839056955606461913e-05
2.370000000000000107e+00 1.816344967657781604e-05
2.389999999999999680e+00 1.795426595868900260e-05
